Id;Márka;Típus;Évjárat;Üzem;Hengerûrtartalom;Teljesítmény(le);Futott km;Ár
1; SWIFT; 1.3 GLX Klima-Vonóhorog;1993;Benzin;1298;68;102200;219000
2;CORSA;B1.2iMoonlight;1996;Benzin;1196;45;183000;319000
3;SWIFT;1.0 GL VONÓHOROG;1999;Benzin;993;53;80140;379000
4;ASTRA F;Caravan 1.4i GL SE VONÓHOROG-JÓ GUMIK! ;1995;Benzin;1389;82;179700;399000
5;MATIZ;0.8 SE Klima Limitált-Szervó-Légzsák;2000;Benzin;796;52;99110;449000
6;CLIO;1.2 16V Authentique VONÓHOROG-FRISS MÛSZAKI! ;2003;Benzin;1149;75;184700;589000
7;MEGANE;Cabrio 1.6 16V Expression KLIMA-ÜLÉSFÛTÉS;2000;Benzin;1598;107;224600;599000
8;YARIS;1.0 Linea Terra;2000;Benzin;998;68;122700;599000
9;ASTRA;G Caravan 1.6 16V Club;1999;Benzin;1598;101;225000;619000
10;ALBEA;1.2 Active 1;2005;Benzin;1242;80;138600;629000
11;KALOS;1.2 S KLIMA;2003;Benzin;1150;72;163500;639000
12;C3;1.1 Spot 2002;2003;Benzin;1124;60;140000;649000
13;PUNTO;1.2 ELX KLIMA;2003;Benzin;1242;60;138600;649000
14;A 170; CDI Avantgarde KLIMA;2001;Dízel;1689;90;231000;649000
15;FABIA;1.4 Light Klima;2002;Benzin;1397;60;238000;649000
16;FIESTA;1.3 Ambiente;2002;Benzin;1299;69;123000;689000
17;EVASION;1.9 TD SX DIGIT KLIMA-7 SZEMÉLY;1998;Dízel;1905;90;249800;699000
18;FOCUS;1.8 Di Ambiente KLIMA;2001;Dízel;1753;90;146800;699000
19;A 160;CDI Elegance KLÍMA;2003;Dízel;1689;75;260000;699000
20;IBIZA;1.2 12V Stella VONÓHOROG;2002;Benzin;1198;64;174600;699000
21;206;1.1 Presence KLIMA;2003;Benzin;1124;60;141500;719000
22;IGNIS;1.3 DDiS GLX KLIMA;2004;Dízel;1248;69;216300;719000
23;FOCUS;1.6 Comfort KLIMA;2003;Benzin;1596;101;179000;729000
24;FOCUS;1.6 Comfort KLIMA;2002;Benzin;1596;101;163200;739000
25;XSARA;PICASSO 2.0 HDi Exclusive DIGIT KLIMA;2002;Dízel;1997;90;183250;749000
