ev;honap;nap;ora;homerseklet;szelsebesseg;paratartalom
2006;4;1;0;9,47222222222222;14,1197;0,89
2006;4;1;1;9,35555555555556;14,2646;0,86
2006;4;1;2;9,37777777777778;3,9284;0,89
2006;4;1;3;8,28888888888889;14,1036;0,83
2006;4;1;4;8,75555555555555;11,0446;0,83
2006;4;1;5;9,22222222222222;13,9587;0,85
2006;4;1;6;7,73333333333333;12,3648;0,95
2006;4;1;7;8,77222222222222;14,1519;0,89
2006;4;1;8;10,8222222222222;11,3183;0,82
2006;4;1;9;13,7722222222222;12,5258;0,72
2006;4;1;10;16,0166666666667;17,5651;0,67
2006;4;1;11;17,1444444444444;19,7869;0,54
2006;4;1;12;17,8;21,9443;0,55
2006;4;1;13;17,3333333333333;20,6885;0,51
2006;4;1;14;18,8777777777778;15,3755;0,47
2006;4;1;15;18,9111111111111;10,4006;0,46
2006;4;1;16;15,3888888888889;14,4095;0,6
2006;4;1;17;15,55;11,1573;0,63
2006;4;1;18;14,2555555555556;8,5169;0,69
2006;4;1;19;13,1444444444444;7,6314;0,7
2006;4;1;20;11,55;7,3899;0,77
2006;4;1;21;11,1833333333333;4,9266;0,76
2006;4;1;22;10,1166666666667;6,6493;0,79
2006;4;1;23;10,2;3,9284;0,77
2006;4;10;0;10,4222222222222;16,9855;0,62
2006;4;10;1;9,91111111111111;17,2109;0,66
2006;4;10;2;11,1833333333333;10,8192;0,8
2006;4;10;3;7,15555555555556;11,0768;0,79
2006;4;10;4;6,11111111111111;6,6493;0,82
2006;4;10;5;6,78888888888889;13,0088;0,83
2006;4;10;6;7,26111111111111;11,1734;0,85
2006;4;10;7;7,8;12,8156;0,83
2006;4;10;8;9,87222222222223;13,7494;0,78
2006;4;10;9;12,2222222222222;15,6331;0,72
2006;4;10;10;15,0944444444444;17,549;0,61
2006;4;10;11;17,3555555555556;22,7815;0,52
2006;4;10;12;19,0055555555555;23,8924;0,46
2006;4;10;13;20,0444444444444;28,3682;0,4
2006;4;10;14;21,05;26,9031;0,4
2006;4;10;15;21,1833333333333;25,6956;0,37
2006;4;10;16;20,1166666666667;25,3092;0,4
2006;4;10;17;20,2166666666667;18,1125;0,36
2006;4;10;18;20;23,4255;0,43
2006;4;10;19;17,8;20,0445;0,5
2006;4;10;20;16,0611111111111;21,3969;0,53
2006;4;10;21;15,0222222222222;21,3808;0,55
2006;4;10;22;14,4222222222222;20,0123;0,58
2006;4;10;23;14,2555555555556;16,5025;0,59
2006;4;11;0;13,7722222222222;17,0982;0,6
2006;4;11;1;13,2833333333333;14,3612;0,63
2006;4;11;2;8,63333333333333;22,0409;0,87
2006;4;11;3;11,25;11,3344;0,83
2006;4;11;4;11,1833333333333;11,2056;0,89
2006;4;11;5;10,6944444444444;10,4006;0,95
2006;4;11;6;11,1111111111111;12,0106;0,93
2006;4;11;7;11,1111111111111;9,2092;0,93
2006;4;11;8;12,1666666666667;9,9015;0,82
2006;4;11;9;12,7555555555556;13,8299;0,79
2006;4;11;10;13,8388888888889;9,0965;0,84
2006;4;11;11;16,1833333333333;0,644;0,73
2006;4;11;12;17,5166666666667;0,6762;0,67
2006;4;11;13;17,3833333333333;3,864;0,67
2006;4;11;14;17,3611111111111;7,8246;0,71
2006;4;11;15;17,2055555555556;15,5848;0,74
2006;4;11;16;15,6333333333333;23,6992;0,81
2006;4;11;17;13,5777777777778;20,9622;0,9
2006;4;11;18;10,9111111111111;22,3951;0,86
2006;4;11;19;8,8;26,5006;0,99
2006;4;11;20;8,96111111111111;23,2162;0,93
2006;4;11;21;8,2;25,4219;0,96
2006;4;11;22;7,68888888888889;28,1267;0,96
2006;4;11;23;7,76666666666666;19,2878;0,96
2006;4;12;0;8,2;20,447;0,96
2006;4;12;1;8,17777777777778;27,8691;0,93
2006;4;12;2;7,31111111111111;6,7459;0,82
2006;4;12;3;7,64444444444444;14,9086;0,93
2006;4;12;4;6,62222222222222;25,0355;0,93
2006;4;12;5;6,68333333333333;19,8352;0,93
2006;4;12;6;6,08888888888889;28,0945;0,93
2006;4;12;7;6,06666666666667;27,9818;0,93
2006;4;12;8;6,14444444444445;30,8637;0,93
2006;4;12;9;7,13333333333334;32,1678;0,8
2006;4;12;10;7,20555555555555;26,5328;0,86
2006;4;12;11;7,56666666666667;28,336;0,84
2006;4;12;12;8,9;29,8333;0,77
2006;4;12;13;9,96111111111111;28,4809;0,71
2006;4;12;14;9,88888888888889;28,5131;0,71
2006;4;12;15;11,0666666666667;25,6956;0,71
2006;4;12;16;10,1166666666667;25,3414;0,76
2006;4;12;17;11,0388888888889;21,413;0,66
2006;4;12;18;10,65;17,8549;0,7
2006;4;12;19;10,05;15,1984;0,7
2006;4;12;20;9,9;15,7297;0,66
2006;4;12;21;8,79444444444444;12,3648;0,71
2006;4;12;22;7,82777777777778;13,8943;0,72
2006;4;12;23;7,85555555555556;9,8049;0,72
2006;4;13;0;7,31666666666667;6,6654;0,75
2006;4;13;1;7,24444444444444;7,1162;0,75
2006;4;13;2;5,43888888888889;3,7191;0,88
2006;4;13;3;7,2;14,4739;0,76
2006;4;13;4;6,68888888888889;20,5275;0,7
2006;4;13;5;6,21111111111111;19,3039;0,73
2006;4;13;6;6,11111111111111;17,4363;0,76
2006;4;13;7;6,11111111111111;20,4148;0,76
2006;4;13;8;6,17222222222222;17,0499;0,76
2006;4;13;9;7,22222222222222;20,5114;0,71
2006;4;13;10;7,28888888888889;17,6456;0,73
2006;4;13;11;7,40555555555556;14,4095;0,72
2006;4;13;12;7,96111111111111;10,7548;0,7
2006;4;13;13;8,03333333333333;4,8622;0,7
2006;4;13;14;9,07777777777778;2,3828;0,65
2006;4;13;15;9,05;0,322;0,62
2006;4;13;16;9,05;3,2522;0,65
2006;4;13;17;9,18333333333333;3,0107;0,65
2006;4;13;18;9,07222222222222;10,465;0,7
2006;4;13;19;7,98333333333333;7,3416;0,75
2006;4;13;20;8,07222222222222;9,5151;0,75
2006;4;13;21;7,89444444444445;9,9981;0,82
2006;4;13;22;7,31111111111111;13,685;0,83
2006;4;13;23;7,33888888888889;11,5437;0,84
2006;4;14;0;6,62222222222222;12,719;0,85
2006;4;14;1;6,06666666666667;12,8961;0,88
2006;4;14;2;8,33888888888889;0,6923;0,88
2006;4;14;3;5,18333333333333;5,5384;0,91
2006;4;14;4;3,72222222222222;5,2003;0,94
2006;4;14;5;4,85555555555556;5,6189;0,93
2006;4;14;6;5,21111111111111;4,7656;0,92
2006;4;14;7;6,25555555555555;7,9212;0,92
2006;4;14;8;7,79444444444445;9,7566;0,87
2006;4;14;9;10,05;9,6922;0,76
2006;4;14;10;12,2;14,49;0,66
2006;4;14;11;12,7;20,3343;0,63
2006;4;14;12;13,9333333333333;23,5865;0,58
